sourceId,sourceName,author,title,description,url,urlToImage,publishedAt,content
liputan6-sports,Liputan6.com Bola,,Rumor Transfer: Jude Bellingham Berpotensi Kembali ke Premier League untuk Liverpool,"Legenda Liverpool, Jamie Redknapp, memberikan pandangannya mengenai peluang gelandang Real Madrid, Jude Bellingham, untuk bergabung dengan The Reds di masa depa",https://www.liputan6.com/bola/read/7672564/rumor-transfer-jude-bellingham-berpotensi-kembali-ke-premier-league-untuk-liverpool,https://cdn0-production-images-kly.akamaized.net/h6VVvIuQKGQlaUdE0k6hPf_Pg7s=/0x133:5184x3055/673x379/filters:quality(75):strip_icc()/kly-media-production/medias/5402849/original/023449500_1762306767-6.jpg,2026-06-04T20:07:46.000Z,"Legenda Liverpool, Jamie Redknapp, memberikan pandangannya mengenai peluang gelandang Real Madrid, Jude Bellingham, untuk bergabung dengan The Reds di masa depa"
liputan6-sports,Liputan6.com Bola,,Silakan! Davide Bartesaghi Dukung Rafael Leao Hengkang dari AC Milan,"Rafael Leao secara mengejutkan mengutarakan niat berpisah dengan AC Milan. Simak tanggapan tak terduga dari rekan setimnya, Davide Bartesaghi.",https://www.liputan6.com/bola/read/7672563/silakan-davide-bartesaghi-dukung-rafael-leao-hengkang-dari-ac-milan,https://cdn1-production-images-kly.akamaized.net/V29jNaiHh24YrqWOWaii3E3VALQ=/0x452:5724x3678/673x379/filters:quality(75):strip_icc()/kly-media-production/medias/5467588/original/071952500_1767923324-AC_Milan_s_Rafael_Leao.jpg,2026-06-04T20:07:36.000Z,"Rafael Leao secara mengejutkan mengutarakan niat berpisah dengan AC Milan. Simak tanggapan tak terduga dari rekan setimnya, Davide Bartesaghi."
viva-general,VIVA.co.id,,"Head-to-Head Timnas Indonesia vs Oman: Terakhir Menang Era 80-an, Saatnya Garuda Balas Dendam?","Ujian berat sekaligus kesempatan emas menghadang Timnas Indonesia dalam laga FIFA Matchday kali ini. Skuad Garuda dijadwalkan menjamu timur tengah, Oman, di Stadion Utama",https://www.viva.co.id/bola/1903464-head-to-head-timnas-indonesia-vs-oman-terakhir-menang-era-80-an-saatnya-garuda-balas-dendam,,2026-06-04T20:05:57.000Z,"Ujian berat sekaligus kesempatan emas menghadang Timnas Indonesia dalam laga FIFA Matchday kali ini. Skuad Garuda dijadwalkan menjamu timur tengah, Oman, di Stadion Utama"
viva-general,VIVA.co.id,,"Senjata Makan Tuan? Buntut Marah-marah dan Pamer Harta hingga Sebut ""Cong"", Sarwendah Dikritik Keras Netizen","Pernyataan Sarwendah saat live streaming menjadi sorotan publik. Sindiran soal nafkah, pengakuan soal penghasilan, hingga ucapannya memicu kritik netizen. Simak selengkap",https://www.viva.co.id/gaya-hidup/showbiz/1903443-senjata-makan-tuan-buntut-marah-marah-dan-pamer-harta-hingga-sebut-cong-sarwendah-dikritik-keras-netizen,,2026-06-04T20:05:00.000Z,"Pernyataan Sarwendah saat live streaming menjadi sorotan publik. Sindiran soal nafkah, pengakuan soal penghasilan, hingga ucapannya memicu kritik netizen. Simak selengkap"
viva-general,VIVA.co.id,,"Masa Lalu Sarwendah Kembali Disorot, Ruben Onsu Singgung ""Angkat dari Lumpur"" di Tengah Memanasnya Konflik","Perseteruan Ruben Onsu dan Sarwendah kembali memanas, menyinggung masa lalu dan bantuan hidup, memicu sorotan publik serta reaksi warganet luas. Selengkapnya di sini",https://www.viva.co.id/gaya-hidup/showbiz/1903380-masa-lalu-sarwendah-kembali-disorot-ruben-onsu-singgung-angkat-dari-lumpur-di-tengah-memanasnya-konflik,,2026-06-04T20:03:00.000Z,"Perseteruan Ruben Onsu dan Sarwendah kembali memanas, menyinggung masa lalu dan bantuan hidup, memicu sorotan publik serta reaksi warganet luas. Selengkapnya di sini"
republika-general,Republika,antara,BNN Jateng dan PPI Bersinergi Perkuat Ketahanan Generasi Muda,"REPUBLIKA.CO.ID, SEMARANG, – Badan Narkotika Nasional (BNN) Jawa Tengah bekerja sama dengan Purna Paskibraka Indonesia (PPI) Jawa Tengah untuk memperkuat ketahanan generasi muda terhadap penyalahgunaan narkotika. Kolaborasi ini diumumkan...",https://news.republika.co.id/berita/tg4i9v1330000/bnn-jateng-dan-ppi-bersinergi-perkuat-ketahanan-generasi-muda,https://static.republika.co.id/uploads/images/detailnews/042766000-1780603267-IMG_20260604_201754jpg.jpg,2026-06-04T20:01:07.000Z,"REPUBLIKA.CO.ID, SEMARANG, – Badan Narkotika Nasional (BNN) Jawa Tengah bekerja sama dengan Purna Paskibraka Indonesia (PPI) Jawa Tengah untuk memperkuat ketahanan generasi muda terhadap penyalahgunaan narkotika. Kolaborasi ini diumumkan..."
detik-sports,DetikSport Sepakbola,,Herdman Jelaskan Alasan Panggil Ferarri ke Timnas,Masuknya nama Muhammad Ferarri dalam skuad Indonesia untuk menghadapi Oman dan Mozambik menimbulkan tanda tanya. Pelatih John Herdman angkat suara terkait itu.,https://sport.detik.com/sepakbola/liga-indonesia/d-8518597/herdman-jelaskan-alasan-panggil-ferarri-ke-timnas,https://akcdn.detik.net.id/community/media/visual/2024/12/08/muhammad-ferarri_169.jpeg?w=360&q=90,2026-06-04T20:00:00.000Z,Masuknya nama Muhammad Ferarri dalam skuad Indonesia untuk menghadapi Oman dan Mozambik menimbulkan tanda tanya. Pelatih John Herdman angkat suara terkait itu.
viva-general,VIVA.co.id,,Kevin Diks Bongkar Fakta Menakjubkan soal Rizky Ridho di Timnas Indonesia,"Bek Timnas Indonesia, Kevin Diks, mengungkap alasan mengapa Rizky Ridho dipercaya mengenakan ban kapten saat Skuad Garuda menghadapi Oman dalam laga FIFA Matchday di Stad",https://www.viva.co.id/bola/1903460-kevin-diks-bongkar-fakta-menakjubkan-soal-rizky-ridho-di-timnas-indonesia,,2026-06-04T20:00:00.000Z,"Bek Timnas Indonesia, Kevin Diks, mengungkap alasan mengapa Rizky Ridho dipercaya mengenakan ban kapten saat Skuad Garuda menghadapi Oman dalam laga FIFA Matchday di Stad"
viva-general,VIVA.co.id,,"Persiapan Timnas Belgia Menuju Piala Dunia 2026: Realitas Kondisi Romelu Lukaku dan Status Outsider ""Setan Merah""","Pelatih tim nasional Belgia, Rudi Garcia, membuka suara terkait peta kekuatan dan kondisi internal skuadnya menjelang bergulirnya Piala Dunia 2026. Dalam wawancara terbar",https://www.viva.co.id/bola/1903463-persiapan-timnas-belgia-menuju-piala-dunia-2026-realitas-kondisi-romelu-lukaku-dan-status-outsider-setan-merah,,2026-06-04T19:58:23.000Z,"Pelatih tim nasional Belgia, Rudi Garcia, membuka suara terkait peta kekuatan dan kondisi internal skuadnya menjelang bergulirnya Piala Dunia 2026. Dalam wawancara terbar"
antara-general,ANTARA News,,"Genjot ekspor langsung, Kaltara siapkan insentif klinik ekspor","ANTARA - Badan Karantina Hewan, Ikan, dan Tumbuhan (BKHIT) wilayah Kalimantan Utara bersama Pemerintah Provinsi Kaltara ...",https://www.antaranews.com/video/5594947/genjot-ekspor-langsung-kaltara-siapkan-insentif-klinik-ekspor,https://img.antaranews.com/cache/800x533/2026/06/Sequence-13.16_39_08_27.Still561.jpg,2026-06-04T19:55:18.000Z,"ANTARA - Badan Karantina Hewan, Ikan, dan Tumbuhan (BKHIT) wilayah Kalimantan Utara bersama Pemerintah Provinsi Kaltara ..."
liputan6-sports,Liputan6.com Bola,,Resmi! Andoni Iraola Ditunjuk Jadi Manajer Baru Liverpool Gantikan Arne Slot,Liverpool resmi menunjuk Andoni Iraola sebagai manajer baru mulai musim 2026/2027 untuk menggantikan posisi Arne Slot di Anfield.,https://www.liputan6.com/bola/read/7672237/resmi-andoni-iraola-ditunjuk-jadi-manajer-baru-liverpool-gantikan-arne-slot,https://cdn0-production-images-kly.akamaized.net/OsL1m5n2FFGdh1mVKfsFBs1_8uc=/673x379/smart/filters:quality(75):strip_icc()/kly-media-production/medias/7789037/original/078213500_1780602845-andoni-iraola-liverpool-anfield.jpg,2026-06-04T19:54:17.000Z,Liverpool resmi menunjuk Andoni Iraola sebagai manajer baru mulai musim 2026/2027 untuk menggantikan posisi Arne Slot di Anfield.
antara-general,ANTARA News,,Timnas Indonesia bantai Timor Leste 3-0 di laga kedua AFF U19,ANTARA - Timnas Indonesia U-19 mengalahkan Timor Leste 3-0 pada laga Grup A Piala AFF U-19 2026 di Stadion Utama ...,https://www.antaranews.com/video/5594940/timnas-indonesia-bantai-timor-leste-3-0-di-laga-kedua-aff-u19,https://img.antaranews.com/cache/800x533/2026/06/Sequence-13.16_36_21_24.Still560.jpg,2026-06-04T19:51:37.000Z,ANTARA - Timnas Indonesia U-19 mengalahkan Timor Leste 3-0 pada laga Grup A Piala AFF U-19 2026 di Stadion Utama ...
republika-general,Republika,Nashih Nashrullah,Pemerintah Dinilai Perlu Bangun Dua Lapis Pertahanan Ekonomi Berikut,"REPUBLIKA.CO.ID, JAKARTA &ndash; Di tengah tekanan global yang masih membayangi perekonomian dunia, anggota DPR RI Fraksi Gerindra, Azis Subekti, mengingatkan bahwa ukuran utama ketahanan ekonomi Indonesia tidak semata-mata ditentukan oleh...",https://ekonomi.republika.co.id/berita/tg448t320/pemerintah-dinilai-perlu-bangun-dua-lapis-pertahanan-ekonomi-berikut,https://static.republika.co.id/uploads/images/detailnews/022422500-1766406144-830-556.jpg,2026-06-04T19:46:00.000Z,"REPUBLIKA.CO.ID, JAKARTA &ndash; Di tengah tekanan global yang masih membayangi perekonomian dunia, anggota DPR RI Fraksi Gerindra, Azis Subekti, mengingatkan bahwa ukuran utama ketahanan ekonomi Indonesia tidak semata-mata ditentukan oleh..."
republika-general,Republika,antara,Kemenhaj Prioritaskan Pemulangan Cepat Jamaah Haji Sakit,"REPUBLIKA.CO.ID, MAKKAH, – Kementerian Haji dan Umrah (Kemenhaj) memastikan bahwa jamaah haji Indonesia yang baru saja keluar dari rumah sakit di Arab Saudi akan menjadi prioritas untuk dipulangkan lebih...",https://news.republika.co.id/berita/tg4hki6430000/kemenhaj-prioritaskan-pemulangan-cepat-jamaah-haji-sakit,https://static.republika.co.id/uploads/images/detailnews/053502500-1780602354-1000108735jpg.jpg,2026-06-04T19:45:54.000Z,"REPUBLIKA.CO.ID, MAKKAH, – Kementerian Haji dan Umrah (Kemenhaj) memastikan bahwa jamaah haji Indonesia yang baru saja keluar dari rumah sakit di Arab Saudi akan menjadi prioritas untuk dipulangkan lebih..."
viva-general,VIVA.co.id,,Prabowo Lantik Nanik S Deyang jadi Kepala BGN Pekan Depan,"Menteri Sekretaris Negara (Mensesneg) RI, Prasetyo Hadi mengatakan bahwa Presiden Prabowo Subianto akan melantik Nanik S Deyang sebagai BGN pekan depan.",https://www.viva.co.id/berita/nasional/1903418-prabowo-lantik-nanik-s-deyang-jadi-kepala-bgn-pekan-depan,,2026-06-04T19:40:00.000Z,"Menteri Sekretaris Negara (Mensesneg) RI, Prasetyo Hadi mengatakan bahwa Presiden Prabowo Subianto akan melantik Nanik S Deyang sebagai BGN pekan depan."
detik-sports,DetikSport Sepakbola,,Resmi! Iraola Jadi Pelatih Anyar Liverpool,Andoni Iraola resmi diperkenalkan sebagai pelatih anyar Liverpool. Ia mengisi kursi pelatih The Reds yang ditinggalkan oleh Arne Slot.,https://sport.detik.com/sepakbola/liga-inggris/d-8518604/resmi-iraola-jadi-pelatih-anyar-liverpool,https://akcdn.detik.net.id/community/media/visual/2026/06/05/2279851383-1780601572635_169.jpeg?w=360&q=90,2026-06-04T19:34:53.000Z,Andoni Iraola resmi diperkenalkan sebagai pelatih anyar Liverpool. Ia mengisi kursi pelatih The Reds yang ditinggalkan oleh Arne Slot.
tirto-general,Tirto.id,,Jadwal Bola Malam Ini 4-5 Juni: Timnas U19 & Uji Coba PD 2026 - Tirto.id,Jadwal Bola Malam Ini 4-5 Juni: Timnas U19 & Uji Coba PD 2026 Tirto.id,https://news.google.com/rss/articles/CBMifEFVX3lxTFBjRE1jRXVJeDlRb3gwZjFLQmY0LU9maENvazZRdlNNNTJfU2dKUjdoQi1qU25NSEkxMG14YTEyTXFJckxHd01ObGxENzluXzk5NzE5ay1KQ0RmLU1lOEc4d19UZmJEOTU2QldEWEZ1YmY3aG9hZWJaU0xLR3o?oc=5,,2026-06-04T19:31:17.000Z,Jadwal Bola Malam Ini 4-5 Juni: Timnas U19 & Uji Coba PD 2026 Tirto.id
detik-sports,DetikSport Sepakbola,,Banyak Cara untuk Meramaikan Piala Dunia 2026,Piala Dunia 2026 sudah di depan mata. Ada banyak cara untuk ikut meramaikan ajang sepakbola terakbar dunia itu.,https://sport.detik.com/sepakbola/gila-bola/d-8518589/banyak-cara-untuk-meramaikan-piala-dunia-2026,https://akcdn.detik.net.id/community/media/visual/2023/11/16/trofi-piala-dunia_169.jpeg?w=360&q=90,2026-06-04T19:30:50.000Z,Piala Dunia 2026 sudah di depan mata. Ada banyak cara untuk ikut meramaikan ajang sepakbola terakbar dunia itu.
